"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"CCDC97","ENSG00000142039","PAS46855_ATTAAA_0.35",4.30382754163602e-05,0.000729322942075193,12.9361210390925,1,0.000322302165978773,0.00176322597116975,0.877255490756389,0.720719241463918,-0.15653624929247,"chr19",41324869,41324870,"+",0.798987366110154,2,"iAPA","distal pA","MCF7"
"CTPS1","ENSG00000171793","PAS710_AATAAA_0.2",8.7604328389481e-05,1.85274507861029e-05,19.8935416820459,1,8.187645244554e-06,6.52410193817723e-05,0.676122232356472,0.872881015224712,0.19675878286824,"chr1",41012561,41012562,"+",0.774501623790592,2,"iAPA","distal pA","MCF7"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",0.00739586800545952,0,9.17985169492783,1,0.00244693850366721,0.0100111579593368,0.0942733527303648,0.301050860341426,0.206777507611061,"chr9",34661885,34661886,"+",0.197662106535895,2,"iAPA","distal pA","MCF7"
"LMCD1","ENSG00000071282","PAS9122_AATAAA_0.35",1.5012275226989e-05,0.0208637794996946,6.77968521446655,1,0.00922011489741644,0.0305378921359055,0.871967843995192,0.737029697954633,-0.134938146040559,"chr3",8568118,8568119,"+",0.804498770974913,2,"iAPA","distal pA","MCF7"
"PAPOLA","ENSG00000090060","PAS37098_AATAAA_0.25",2.34982881271137e-61,1.75431524569521e-46,210.121766989119,1,1.29211073923878e-47,3.18460741679628e-45,0.466182345760584,0.741111538934926,0.274929193174342,"chr14",96567108,96567109,"+",0.603646942347755,2,"iAPA","distal pA","MCF7"
"PARP8","ENSG00000151883","PAS14781_AATAAA_0.3",3.46294402411326e-06,0.000308916394489265,14.5496192690598,1,0.00013651623623267,0.000825507443716591,0.839042801136313,0.598311932192595,-0.240730868943718,"chr5",50842334,50842335,"+",0.718677366664454,2,"iAPA","distal pA","MCF7"
"PGLS","ENSG00000130313","PAS46444_ATTAAA_0.15",0.000550444418727249,0,14.6319039204886,1,0.0001306833761993,0.000794944196922975,0.95667420880909,0.832952709069446,-0.123721499739645,"chr19",17521285,17521286,"+",0.894813458939268,2,"iAPA","distal pA","MCF7"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",0.000320531380452979,0,15.7521483245619,1,7.22058937355959e-05,0.000468110317892212,0.79829066307974,0.657982705669633,-0.140307957410107,"chr17",50485973,50485974,"+",0.728136684374687,2,"iAPA","distal pA","MCF7"
"SLC66A3","ENSG00000162976","PAS5228_AATAAA_0.3",0.00114308348205515,0.000942060359929214,12.4575079191814,1,0.00041631501900104,0.0022074270017136,0.787960353260481,0.938934645615165,0.150974292354684,"chr2",11178853,11178854,"+",0.863447499437823,2,"iAPA","distal pA","MCF7"
"USP10","ENSG00000103194","PAS40971_AATAAA_0.15",2.51868254139774e-17,0,78.0756583251614,1,9.91684996710961e-19,4.47196751671394e-17,0.977697673458265,0.848376971507616,-0.129320701950649,"chr16",84779918,84779919,"+",0.91303732248294,2,"iAPA","distal pA","MCF7"
"ABR","ENSG00000159842","PAS43628_AATAAA_0.25",1.69957066145326e-05,0,21.8171059127853,1,2.99914312244736e-06,2.6046628757828e-05,0.982132431091783,0.832255071467026,-0.149877359624757,"chr17",1003526,1003527,"-",0.907193751279404,2,"iAPA","distal pA","MCF7"
"BLOC1S5-TXNDC5","ENSG00000259040","PAS18638_APA_0.1",7.13477376953007e-07,0,28.4810950971704,1,9.46178617428376e-08,1.13279927438347e-06,0.97261930436373,0.541785234881533,-0.430834069482197,"chr6",7882811,7882812,"-",0.757202269622632,2,"iAPA","distal pA","MCF7"
"ENSG00000266086","ENSG00000266086","PAS44602_APA_0.15",4.86972320563967e-15,6.99425512505923e-17,71.2855584365539,1,3.0908990327392e-17,1.23076327779963e-15,0.587417632557986,0.941224913900252,0.353807281342266,"chr17",57989038,57989039,"-",0.764321273229119,3,"iAPA","distal pA","MCF7"
"MED14","ENSG00000180182","PAS52632_AATAAA_0.3",0.00291199038268357,0.00128813909576564,11.8739222208387,1,0.000569254025474492,0.00289693353298607,0.211379379194915,0.454543922338576,0.24316454314366,"chrX",40649544,40649545,"-",0.332961650766745,2,"iAPA","distal pA","MCF7"
"PPP1R13B","ENSG00000088808","PAS38140_ATTAAA_0.25",3.07096273559808e-33,1.12852828552115e-11,49.8467014487833,1,1.66239622078728e-12,3.8515322489715e-11,0.568994084221786,0.333333429381304,-0.235660654840482,"chr14",103733964,103733965,"-",0.451163756801545,2,"iAPA","distal pA","MCF7"
"PTP4A2","ENSG00000184007","PAS3062_AATAAA_0.05",2.21182999438382e-14,1.02826704800526e-07,32.0343492708143,1,1.51470483858953e-08,2.08199092958051e-07,0.274825596754049,0.407560240828903,0.132734644074854,"chr1",31906422,31906423,"-",0.341192918791476,2,"iAPA","distal pA","MCF7"
