gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,6.282377843459644e-4,7.600837670108498e-4,13.343610549392906,1,2.593046137406074e-4,0.0022047002260617257,0.21125805546785328,0.10659157464678932,-0.10466648082106396,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,6.282377843459644e-4,0.5515016408306294,1.7320738641210482,1,0.1881462625037961,0.3581653001112609,0.2675522568629624,0.22342988672664207,-0.04412237013632034,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,6.282377843459644e-4,3.606170926338802e-4,14.7457352125557,1,1.2302548741624993e-4,0.0011873350261090453,0.5211896876691843,0.6699785386265686,0.14878885095738437,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.0017436569739640525,1,0.4344901946024038,1,0.509793863258909,0.6772660154241953,0.011723522874141051,0.009119571055305083,-0.002603951818835968,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.0017436569739640525,1,0.886877185148478,1,0.34632496639451016,0.5323676297407353,0.005554015646694822,0.00864021732146317,0.003086201674768349,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.0017436569739640525,1,1.533753524421627,1,0.2155499806337105,0.3936559264180591,0.3994633386216157,0.4251376796885941,0.025674341066978412,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.0017436569739640525,1,0.16519864982183208,1,0.6844146563454726,0.8081194092557397,0.33030429875154066,0.32315546329234707,-0.007148835459193592,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.0017436569739640525,1,2.639541785534675,1,0.10423360307182246,0.23506558714141781,0.03921802264406971,0.027494704150730766,-0.011723318493338946,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.0017436569739640525,0.1827891920332485,6.242532032803865,1,0.012471804528213962,0.04984458115934094,0.19036018414296518,0.1526641290671309,-0.03769605507583429,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.0017436569739640525,0.0010143564516086872,15.832322247420962,1,6.921008428165239e-5,7.251475833702631e-4,0.023376617318972892,0.05378823542442901,0.030411618105456117,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.7231456369671613,NA,0.05538924931374822,1,0.8139377056803028,0.8943241604100053,0.13648347006270042,0.1483335705191073,0.011850100456406887,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.7231456369671613,NA,0.5214516862267828,1,0.47022309009227065,0.6450999945804538,0.47134898176019413,0.5279443195160053,0.05659533775581116,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.7231456369671613,NA,1.093990971039375,1,0.29558862741019004,0.4822254021881667,0.3921675481771054,0.3237221099648874,-0.06844543821221805,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.07623667191364786,NA,4.756712993223118,1,0.029184230522251848,0.09406285906324068,0.36249977055016996,0.30394362123510654,-0.05855614931506342,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.07623667191364786,NA,4.756712993223118,1,0.029184230522251848,0.09406285906324068,0.63750022944983,0.6960563787648933,0.058556149315063366,chr3,120602325,120602326,+
FAM162A,ENSG00000114023.16,PAS10048_AATAAA_0.2,3.0683283091123444e-5,0,21.79480781825714,1,3.034201300618678e-6,4.7667690980033834e-5,0.9855861047932337,0.9162899601835957,-0.06929614460963807,chr3,122409996,122409997,+
FAM162A,ENSG00000114023.16,PAS10049_AATAAA_0.15,3.0683283091123444e-5,0,21.79480781825714,1,3.034201300618678e-6,4.7667690980033834e-5,0.01441389520676628,0.08371003981640435,0.06929614460963807,chr3,122412332,122412333,+
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,0.6626030652336596,NA,0.3830447741761418,1,0.5359782125246993,0.6980337751419433,0.8178381567444427,0.777699125627577,-0.040139031116865675,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,0.6626030652336596,NA,0.3830447741761418,1,0.5359782125246993,0.6980337751419433,0.1821618432555573,0.22230087437242296,0.040139031116865675,chr3,123274130,123274131,+
UMPS,ENSG00000114491.14,PAS10079_APA_0.2,0.9710451879141713,NA,0.0035353768907953054,1,0.9525864927344075,0.9751312083327642,0.9509760565790965,0.952435990814133,0.0014599342350365418,chr3,124744291,124744292,+
UMPS,ENSG00000114491.14,PAS10081_APA_0.25,0.9710451879141713,NA,0.0035353768907953054,1,0.9525864927344075,0.9751312083327642,0.04902394342090344,0.047564009185866896,-0.0014599342350365418,chr3,124749269,124749270,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.06500336928952004,NA,5.1077469918500356,1,0.023819232589001073,0.08127447377713513,0.27638833642617655,0.18689197576963135,-0.0894963606565452,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.06500336928952004,NA,5.1077469918518545,1,0.02381923258897601,0.08127447377713513,0.7236116635738234,0.8131080242303687,0.0894963606565452,chr3,127037384,127037385,+
ESPN,ENSG00000187017.18,PAS100_ATTAAA_0.1,3.2790800535564463e-16,2.3940916199554043e-10,43.5732880635187,1,4.0837538552727674e-11,1.8188204051784156e-9,0.7021724700042267,0.4471539345205073,-0.2550185354837194,chr1,6460928,6460929,+
ESPN,ENSG00000187017.18,PAS101_APA_0.3,3.2790800535564463e-16,1,0.09872054809238762,1,0.7533704623200654,0.8537017708463585,0.05000082248608701,0.044716568034564065,-0.005284254451522946,chr1,6461367,6461368,+
ESPN,ENSG00000187017.18,PAS98_AATAAA_0.25,3.2790800535564463e-16,1.0267496882950888e-18,81.50138033623807,1,1.7513920365559301e-19,2.250955765078312e-17,0.08913113504260332,0.3739829957292562,0.28485186068665286,chr1,6456667,6456668,+
ESPN,ENSG00000187017.18,PAS99_APA_0.3,3.2790800535564463e-16,1,0.768139960244298,1,0.3807930862666245,0.564292160157083,0.158695572467083,0.13414650171567244,-0.02454907075141055,chr1,6460397,6460398,+
SEC61A1,ENSG00000058262.11,PAS10100_AATAAA_0.4,0.6086604139488732,NA,1.330689529168012,1,0.24868258688292452,0.4310817610770798,0.014007665236686583,0.008119864024100393,-0.00588780121258619,chr3,128061371,128061372,+
SEC61A1,ENSG00000058262.11,PAS10101_APA_0.2,0.6086604139488732,NA,0.17712510588899022,1,0.6738556095139457,0.7998721849818762,0.017939944360578376,0.02077405817907742,0.0028341138184990455,chr3,128070800,128070801,+
SEC61A1,ENSG00000058262.11,PAS10102_AATAAA_0.15,0.6086604139488732,NA,0.06039483971107984,1,0.8058729651655284,0.8890642627144622,0.968052390402735,0.9711060777968222,0.003053687394087179,chr3,128071681,128071682,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,6.244536088937755e-6,0.004475414554504174,11.328172727486162,1,7.633998335135027e-4,0.005390937076538314,0.11546206805791766,0.06428805362101417,-0.05117401443690349,chr3,128813801,128813802,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,6.244536088937755e-6,0.11030372407902654,5.5186097903460904,1,0.018815205512772274,0.06794628664337629,0.30733043766826157,0.25142468850327626,-0.05590574916498531,chr3,128814095,128814096,+
RAB7A,ENSG00000075785.14,PAS10115_APA_0.25,6.244536088937755e-6,0.15002936414483048,3.8022774951568863,1,0.051182919577821846,0.1420052425375629,0.14913784279487644,0.1140411158758412,-0.03509672691903523,chr3,128814391,128814392,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,6.244536088937755e-6,5.311091010369545e-7,28.565225547403315,1,9.059464645594968e-8,2.0410263003723554e-6,0.4280696514789444,0.5702461419998683,0.14217649052092396,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,2.4266603200882413e-9,0,41.85784415148919,1,9.815620193757811e-11,4.038469344962245e-9,0.7527329467877429,0.43715249925670135,-0.3155804475310416,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,2.4266603200882413e-9,0,41.85784415148919,1,9.815620193757811e-11,4.038469344962245e-9,0.24726705321225706,0.5628475007432986,0.31558044753104153,chr3,129306182,129306183,+
FPGT,ENSG00000254685.8,PAS1013_APA_0.1,0.16308779570561788,NA,3.1234337051783427,1,0.07717400241681412,0.19116431031844833,0.3228988309454684,0.11506645935156463,-0.20783237159390378,chr1,74205527,74205528,+
FPGT,ENSG00000254685.8,PAS1014_AATAAA_0.3,0.16308779570561788,NA,3.1234337051783427,1,0.07717400241681412,0.19116431031844833,0.6771011690545317,0.8849335406484352,0.20783237159390355,chr1,74207232,74207233,+
