"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACSS2","ENSG00000131069","PAS48995_AATAAA_0.25",0.891523484225296,NA,0.066601506011466,1,0.796350818983974,0.91032608755508,0.912000444958211,0.923088244514073,0.0110877995558621,"chr20",34927956,34927957,"+",0.917544344736142,0,"iAPA","distal pA"
"ADAMTSL4","ENSG00000143382","PAS1526_ATTAAA_0.25",0.892897168880155,NA,0.065600582014099,1,0.797853464716532,0.910981790370336,0.766464854042367,0.75230259754352,-0.014162256498848,"chr1",150560931,150560932,"+",0.759383725792943,0,"iAPA","distal pA"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",0.454245689035978,NA,1.31007424683276,1,0.252381213008202,0.500865397546252,0.697354187056782,0.741926404751776,0.0445722176949941,"chr20",3651112,3651113,"+",0.719640295904279,0,"iAPA","distal pA"
"CCP110","ENSG00000103540","PAS40342_AATAAA_0.3",0.886451047182433,NA,0.0728187785779824,1,0.787276002456266,0.907082171295933,0.664477560449824,0.628210816905765,-0.0362667435440588,"chr16",19553403,19553404,"+",0.646344188677795,0,"iAPA","distal pA"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",0.100919531593518,NA,2.20540359348524,1,0.137527896060129,0.350369901316467,0.197221996375295,0.147783563878125,-0.0494384324971705,"chr11",95832690,95832691,"+",0.17250278012671,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.619972637292562,NA,0.000336249974679959,1,0.985369914857184,0.996371253668073,0.363854859749021,0.364756091468966,0.000901231719944273,"chrX",154777680,154777681,"+",0.364305475608994,0,"iAPA","distal pA"
"DYNC2H1","ENSG00000187240","PAS30466_AATAAA_0.15",0.854432155081079,NA,0.117960472733216,1,0.731257135348402,0.879098955364575,0.434673177596395,0.404128438213321,-0.0305447393830742,"chr11",103479622,103479623,"+",0.419400807904858,0,"iAPA","distal pA"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",0.564104299487958,NA,0.821169090019339,1,0.364838573014052,0.61364288183653,0.496876020523156,0.451494683013137,-0.0453813375100194,"chr9",34661885,34661886,"+",0.474185351768146,0,"iAPA","distal pA"
"KATNIP","ENSG00000047578","PAS40418_AATAAA_0.3",0.882695522415849,NA,0.0764006696716706,1,0.782235703099397,0.904153595325274,0.777648895406895,0.798234909881281,0.0205860144743863,"chr16",27780364,27780365,"+",0.787941902644088,0,"iAPA","distal pA"
"KCTD20","ENSG00000112078","PAS17730_AATAAA_0.05",0.61674589773867,NA,0.699127445016074,1,0.403077040760386,0.649082168950756,0.836712948824842,0.874452894436557,0.0377399456117149,"chr6",36491140,36491141,"+",0.8555829216307,0,"iAPA","distal pA"
"MED15","ENSG00000099917","PAS50728_AATAAA_0.15",0.147234790640261,NA,3.94577772705816,1,0.0469891286375871,0.176930719011765,0.94876560907878,0.897038814579016,-0.0517267944997639,"chr22",20587616,20587617,"+",0.922902211828898,0,"iAPA","distal pA"
"NUCB2","ENSG00000070081","PAS29557_AATAAA_0.45",0.282639921929669,NA,0.487498513422906,1,0.485045287278775,0.713249250850892,0.488612391851933,0.458098961266458,-0.0305134305854743,"chr11",17331521,17331522,"+",0.473355676559196,0,"iAPA","distal pA"
"PSMA3","ENSG00000100567","PAS36707_ATTAAA_0.3",0.0226411741202957,0,8.32486211721744,1,0.00391061064034624,0.0301427145102123,0.933127323105347,0.859545540654942,-0.0735817824504048,"chr14",58272001,58272002,"+",0.896336431880144,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",0.690193205915956,NA,0.423291626415448,1,0.515299139703779,0.734780679288964,0.885253518126138,0.89256817920841,0.00731466108227141,"chr17",43002951,43002952,"+",0.888910848667274,0,"iAPA","distal pA"
"SENP3-EIF4A1","ENSG00000277957","PAS42250_AATAAA_0.45",2.23082636048441e-15,0.000596376340357979,14.6574407384505,1,0.000128924682448683,0.00202004531936304,0.875231337367267,0.806236409676476,-0.0689949276907906,"chr17",7578620,7578621,"+",0.840733873521871,0,"iAPA","distal pA"
"SLC4A1AP","ENSG00000163798","PAS5369_ATTAAA_0.4",0.41846952145891,NA,1.49765529212482,1,0.221032486261935,0.464238118984938,0.849653336319446,0.783015592739975,-0.0666377435794707,"chr2",27694963,27694964,"+",0.81633446452971,0,"iAPA","distal pA"
"SREK1","ENSG00000153914","PAS14893_AATAAA_0.3",0.0731301812599727,NA,1.59950511358238,1,0.205973357448061,0.447022044068613,0.197603978884658,0.16055009230074,-0.0370538865839184,"chr5",66180883,66180884,"+",0.179077035592699,0,"iAPA","distal pA"
"ZC3H15","ENSG00000065548","PAS6681_AATAAA_0.25",0.28611061505255,NA,2.37302326363715,1,0.123447771504733,0.330308439646169,0.887373189003548,0.829533482267051,-0.0578397067364964,"chr2",186509357,186509358,"+",0.858453335635299,0,"iAPA","distal pA"
"ZNF174","ENSG00000103343","PAS40172_AATAAA_0.45",0.98799942700995,NA,0.00127776123346734,1,0.971485061726744,0.990710902750424,0.574449479067011,0.57915958716349,0.00471010809647876,"chr16",3409361,3409362,"+",0.576804533115251,0,"iAPA","distal pA"
