"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"AOPEP","PAS25199_AATAAA_0.25",0.039113915440203,0,8.61235168707503,1,0.00333890917079363,0.0589975440107848,0.517567995342935,0.772396200970727,0.254828205627792,"chr9",95087157,95087158,"+",0.644982098156831,2,"iAPA",0.509656411255584,TRUE,"distal pA","SDMAi"
"C11orf58","PAS29542_AATAAA_0.15",4.27240105814695e-12,0.000678459094621477,19.0692611614131,1,1.26059007940187e-05,0.000785167535170306,0.505199628877286,0.373574891295397,-0.131624737581889,"chr11",16755890,16755891,"+",0.439387260086342,2,"iAPA",-0.250597298288652,TRUE,"distal pA","SDMAi"
"C9orf85","PAS25058_AATAAA_0.25",0.0191468697126176,0.00313955097842453,13.1231622782842,1,0.000291667312631902,0.00985790296957438,0.46978081940505,0.749973349279618,0.280192529874568,"chr9",71973452,71973453,"+",0.609877084342334,2,"iAPA",0.476290114383115,TRUE,"distal pA","SDMAi"
"CERS6","PAS6492_AATAAA_0.2",1.67793409955849e-13,4.53016314419586e-08,36.6648605783366,1,1.40285507824937e-09,2.82733607774221e-07,0.467447138091939,0.197160487234643,-0.270286650857296,"chr2",168775127,168775128,"+",0.332303812663291,2,"iAPA",-0.665612288615694,TRUE,"distal pA","SDMAi"
"CMC1","PAS9340_AATAAA_0.3",0.0226299563008414,0,9.94059442585012,1,0.00161673332938459,0.035365844707586,0.914624585602167,0.812848202228094,-0.101776383374073,"chr3",28319769,28319770,"+",0.86373639391513,2,"iAPA",-0.203552766748146,TRUE,"distal pA","SDMAi"
"DDX10","PAS30487_AATAAA_0.35",0.0491232382787857,0,8.0515893854166,1,0.00454637507645961,0.0725423433974892,0.817000743251112,0.962095013280993,0.145094270029882,"chr11",108940923,108940924,"+",0.889547878266053,2,"iAPA",0.290188540059763,TRUE,"distal pA","SDMAi"
"DNAH1","PAS9674_ATTAAA_0.15",0.0371229834952323,0,8.74537370709322,1,0.00310388486016228,0.0560370103118325,0.622614131429135,0.821406704982187,0.198792573553052,"chr3",52400490,52400491,"+",0.722010418205661,2,"iAPA",0.397585147106104,TRUE,"distal pA","SDMAi"
"FAM32A","PAS46405_AATAAA_0.15",3.4441881685946e-05,3.34309422590007e-06,26.1827993406869,1,3.10576676551628e-07,3.19503737665815e-05,0.616544088974132,0.804965808114611,0.188421719140478,"chr19",16192043,16192044,"+",0.710754948544372,2,"iAPA",0.378176672955701,TRUE,"distal pA","SDMAi"
"FBLN7","PAS6165_AATAAA_0.1",0.0109489445199396,0,11.7269005748328,1,0.00061603103516514,0.0174408786579221,0.730254782484122,0.335017854623351,-0.395236927860771,"chr2",112188211,112188212,"+",0.532636318553736,2,"iAPA",-0.790473855721542,TRUE,"distal pA","SDMAi"
"INVS","PAS25268_APA_0.2",1.34973173357175e-06,2.46706285204886e-07,32.5764271525707,1,1.14596258684127e-08,1.76863606323113e-06,0.351226216873068,0.104909030679177,-0.246317186193891,"chr9",100300822,100300823,"+",0.228067623776122,2,"iAPA",-0.521808016968479,TRUE,"distal pA","SDMAi"
