"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AGK","ENSG00000006530","PAS21062_ATTAAA_0.25",0.0355172957969969,0,5.7478502269953,1,0.0165088471846365,0.0450156335667523,0.208455965531599,0.411921176056969,0.20346521052537,"chr7",141654262,141654263,"+",0.310188570794284,2,"MIXED","distal pA"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",1.32766973601783e-10,7.3554922759715e-11,45.1550194184892,1,1.82038529666548e-11,3.00817724127766e-10,0.102144623921844,0.281655708839319,0.179511084917475,"chr4",106349221,106349222,"+",0.191900166380582,2,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",3.14195462740556e-24,0,109.875249175419,1,1.0435576410593e-25,5.66192348802719e-24,0.116550271153438,0.441909530793544,0.325359259640106,"chr11",1012238,1012239,"+",0.279229900973491,2,"MIXED","distal pA"
"ARFGEF2","ENSG00000124198","PAS49180_AATAAA_0.2",0.036551739830983,0,5.68595527904108,1,0.017101226916285,0.0463526350391504,0.763636001128843,0.863636363636363,0.10000036250752,"chr20",49036691,49036692,"+",0.813636182382603,2,"MIXED","distal pA"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",1.12511481085856e-06,0.00408773947846301,11.5583954004388,1,0.000674440319696142,0.00296503809795619,0.172741997178361,0.401979229164824,0.229237231986463,"chr7",12690724,12690725,"+",0.287360613171592,2,"MIXED","distal pA"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",7.30449940195009e-23,0,103.465989048218,1,2.6490285084466e-24,1.31598769371174e-22,0.640138711103676,0.882633262275379,0.242494551171703,"chr2",238452248,238452249,"+",0.761385986689527,2,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",5.47192714087262e-38,1.99367394449107e-40,178.585655451212,1,9.86814912919545e-41,1.22557786489703e-38,0.268869282951809,0.733137443619352,0.464268160667543,"chr2",241673853,241673854,"+",0.50100336328558,2,"MIXED","distal pA"
"ATRIP","ENSG00000164053","PAS9579_AATAAA_0.25",5.46404197905493e-05,0,19.1342718600326,1,1.21837345385749e-05,8.27359367619501e-05,0.57026266535413,0.31500705637781,-0.25525560897632,"chr3",48467643,48467644,"+",0.44263486086597,2,"MIXED","distal pA"
"AVL9","ENSG00000105778","PAS20272_AATAAA_0.3",4.01134208620354e-05,4.49371680286147e-05,17.9869302643492,1,2.2242688017036e-05,0.000141890855299688,0.0947873859214128,0.220339136866507,0.125551750945094,"chr7",32586163,32586164,"+",0.15756326139396,2,"MIXED","distal pA"
"C14orf28","ENSG00000179476","PAS36555_AATAAA_0.2",0.0260545737773071,0,6.38208413891874,1,0.0115277985868432,0.0335836074060511,0.271681060783314,0.60005037258064,0.328369311797326,"chr14",44907248,44907249,"+",0.435865716681977,2,"MIXED","distal pA"
