gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.8634904439097373,NA,0.16835791557832636,1,0.6815753222995399,0.8883663360557422,0.4447651138475754,0.4193584467604981,-0.025406667087077284,chr11,106098692,106098693,+,0.43206178030403675,distal pA,HUB_T_DMSO_vs_T_SA,-0.050813334174154456
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.6359216396111831,NA,0.8990410432704721,1,0.3430389728676636,0.6791242846234307,0.35477965935074945,0.4424221968762761,0.08764253752552664,chr7,151047779,151047780,+,0.3986009281135128,distal pA,HUB_T_DMSO_vs_T_SA,0.1752850750510534
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,0.23613723922808125,NA,3.8186327464054557,1,0.05068558215498358,0.26475837308526146,0.7875128225874594,0.7062361306469803,-0.08127669194047904,chr17,50691700,50691701,+,0.7468744766172198,distal pA,HUB_T_DMSO_vs_T_SA,-0.17523617597483737
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.19256863566219828,NA,4.2938699612664095,1,0.03825000731864254,0.22550951812833572,0.9017246753329334,0.9621657207503507,0.06044104541741724,chr1,94518661,94518662,+,0.931945198041642,distal pA,HUB_T_DMSO_vs_T_SA,0.12088209083483444
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.7759034924635814,NA,0.41904432062943897,1,0.5174142952552084,0.8133432106875166,0.16417118986031098,0.2209682392248289,0.056797049364517904,chr4,145129520,145129521,+,0.19256971454256994,distal pA,HUB_T_DMSO_vs_T_SA,0.11359409872903581
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.8025322381283067,NA,0.3271865886872547,1,0.5673204416417076,0.8360315716271002,0.059017483741520826,0.04476279052196941,-0.014254693219551418,chr3,184194450,184194451,+,0.05189013713174512,distal pA,HUB_T_DMSO_vs_T_SA,-0.028509386439102724
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.266554428164491,NA,3.3528723009869736,1,0.06708785607735504,0.30842678317616756,0.903406362814362,0.9632227420851208,0.05981637927075878,chr15,80755618,80755619,+,0.9333145524497415,distal pA,HUB_T_DMSO_vs_T_SA,0.11963275854151746
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.05086715615225273,NA,9.95181966573e-4,1,0.9748337050971386,0.9963599168652942,0.2896803197215537,0.2906166487250883,9.36329003534575e-4,chr15,89202353,89202354,+,0.290148484223321,distal pA,HUB_T_DMSO_vs_T_SA,0.08332061018929265
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,0.004781970321084279,0,14.580108447439784,1,1.3432500901922132e-4,0.006786039422127477,0.3054959265027115,0.7717540095521235,0.46625808304941196,chr2,203432167,203432168,+,0.53862496802741755,distal pA,HUB_T_DMSO_vs_T_SA,0.9325161660988238
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.9670336159707094,NA,0.9132720495836111,1,0.339247735704605,0.6763340651280739,0.7153876499346049,0.7600864999310749,0.04469884999647,chr11,77022926,77022927,+,0.7377370749328399,distal pA,HUB_T_DMSO_vs_T_SA,0.05814462015321427
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.5204905723108093,NA,1.4257072635050463,1,0.23246629493649487,0.569545571690977,0.8991950207753284,0.8520374339052891,-0.04715758687003935,chr22,41528972,41528973,+,0.8756162273403088,distal pA,HUB_T_DMSO_vs_T_SA,-0.09431517374007871
