"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",8.01118384779626e-06,5.83261365101552e-07,27.3998996917344,1,1.65439818841137e-07,3.88483429467455e-06,0.80059662840231,0.624230391720698,-0.176366236681612,"chr11",120489027,120489028,"+",0.712413510061504,2,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",3.52315968044082e-19,2.49852093700642e-22,99.7016457578575,1,1.7717393775823e-23,4.09499591284343e-21,0.538286957827764,0.284385098401909,-0.253901859425855,"chr15",72586553,72586554,"+",0.411336028114836,2,"TUTR"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",4.50577302453685e-51,5.66613685275387e-22,98.0801100797253,1,4.01794422936568e-23,8.90497529957635e-21,0.424359641204574,0.202918930964492,-0.221440710240083,"chr20",32439317,32439318,"+",0.313639286084533,2,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.00238267815341866,0.000385913498479311,14.9660518113524,1,0.00010946286364373,0.00124982333866754,0.393013100511431,0.2180837722673,-0.17492932824413,"chr1",1235037,1235038,"+",0.305548436389366,2,"TUTR"
"BAG4","ENSG00000156735","PAS22800_AATAAA_0.15",0.00637904524748193,0,10.4427113261017,1,0.00123134385474182,0.0093049566678505,0.874319534603628,0.757760537040228,-0.116558997563401,"chr8",38213298,38213299,"+",0.816040035821928,2,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.000158149897391645,0,18.4594833254441,1,1.73555025913262e-05,0.000257609794885382,0.288294413841683,0.181365166607966,-0.106929247233717,"chr10",22331481,22331482,"+",0.234829790224824,2,"TUTR"
"CDT1","ENSG00000167513","PAS41015_AATAAA_0.35",4.15903617522775e-24,0,112.629017268724,1,2.60172057431584e-26,8.4186474343712e-24,0.277273033267813,0.547902378857828,0.270629345590015,"chr16",88809253,88809254,"+",0.41258770606282,2,"TUTR"
"COG6","ENSG00000133103","PAS35448_AATAAA_0.4",0.00210069879594522,0,12.8684995939518,1,0.000334159415262064,0.00323734441887721,0.909203440455922,0.624207472822195,-0.284995967633727,"chr13",39752499,39752500,"+",0.766705456639058,2,"TUTR"
"DOT1L","ENSG00000104885","PAS46064_AATAAA_0.2",2.21046689211314e-05,2.96308917368478e-05,19.8435265440075,1,8.40468725404422e-06,0.000134499935789497,0.405012549961864,0.267259861141907,-0.137752688819957,"chr19",2232576,2232577,"+",0.336136205551886,2,"TUTR"
"ELMOD2","ENSG00000179387","PAS13272_AATAAA_0.15",0.0370921192082619,0,6.67480334160246,1,0.0097785300861891,0.0500021612719511,0.846346753327501,0.715608883636737,-0.130737869690765,"chr4",140553769,140553770,"+",0.780977818482119,2,"TUTR"
"GATAD2A","ENSG00000167491","PAS46503_AATAAA_0.15",2.41120308087175e-07,0.000651463483756224,16.0529672523608,1,6.15950282228852e-05,0.000765984597707962,0.522429248906931,0.409277149079953,-0.113152099826978,"chr19",19507339,19507340,"+",0.465853198993442,2,"TUTR"
"GATC","ENSG00000257218","PAS33401_AATAAA_0.4",1.94976773187487e-07,0.000526783530722034,16.4554534295185,1,4.98067002237634e-05,0.000635005991268927,0.270298537415438,0.389470831429787,0.119172294014349,"chr12",120463745,120463746,"+",0.329884684422613,2,"TUTR"
"IRAK3","ENSG00000090376","PAS32894_AATAAA_0.25",0.00205524357079101,0.00928968949927248,9.04441568883817,1,0.00263498431373466,0.0174794429061502,0.548061632358359,0.271635559283153,-0.276426073075205,"chr12",66254621,66254622,"+",0.409848595820756,2,"TUTR"
"IREB2","ENSG00000136381","PAS38868_AATAAA_0.15",9.98414735026226e-12,4.08161189887285e-12,51.9173493893504,1,5.78866674129688e-13,3.79169389503815e-11,0.789223635870698,0.542566671423018,-0.24665696444768,"chr15",78501449,78501450,"+",0.665895153646858,2,"TUTR"
"KIF11","ENSG00000138160","PAS27588_AATAAA_0.25",6.65597380623185e-17,2.46365457685816e-18,78.7671173596773,1,6.98806043516335e-19,9.1708342106711e-17,0.664564847138341,0.436837659622413,-0.227727187515928,"chr10",92655392,92655393,"+",0.550701253380377,2,"TUTR"
"LRCH1","ENSG00000136141","PAS35514_ATTAAA_0.3",0.0134802867360603,0,8.8342650877446,1,0.00295626663541521,0.0191624350538392,0.644557884696072,0.414931277440007,-0.229626607256065,"chr13",46753037,46753038,"+",0.529744581068039,2,"TUTR"
"LRRC8C","ENSG00000171488","PAS1111_AATAAA_0.35",0.0386871519627341,0,6.58020047396371,1,0.0103119278031405,0.0519489101861251,0.473203386046207,0.268316037357934,-0.204887348688273,"chr1",89719528,89719529,"+",0.370759711702071,2,"TUTR"
"MED28","ENSG00000118579","PAS12620_AATAAA_0.4",0.00367060830019397,0.00389675614968659,12.6858491109706,1,0.000368433244536945,0.00351802543523063,0.142398899442237,0.246576376583868,0.104177477141631,"chr4",17634096,17634097,"+",0.194487638013053,2,"TUTR"
"NCK1","ENSG00000158092","PAS10205_AATAAA_0.1",0.0352856671840596,0.00912636648735894,9.07684805410963,1,0.00258865837630717,0.0172637691138804,0.709161507136167,0.500606156813363,-0.208555350322804,"chr3",136949124,136949125,"+",0.604883831974765,2,"TUTR"
"OGT","ENSG00000147162","PAS52089_AATAAA_0.25",5.29814842394889e-17,4.9375656722981e-15,65.1325424239221,1,7.00260654328605e-16,6.82501031709789e-14,0.525036825304816,0.706533384440703,0.181496559135886,"chrX",71575889,71575890,"+",0.61578510487276,2,"TUTR"
"PNRC1","ENSG00000146278","PAS18119_APA_0.3",0.000154208246577021,4.60088467930176e-05,19.0031577442423,1,1.30502305380731e-05,0.000199564914816148,0.03520446626225,0.145372254532916,0.110167788270666,"chr6",89085209,89085210,"+",0.090288360397583,2,"TUTR"
"PRKCA","ENSG00000154229","PAS43267_AATAAA_0.05",2.16347947526e-05,4.97042668554916e-07,29.0511536528297,1,7.04921103660994e-08,1.80457571774228e-06,0.563744001318382,0.291778831486036,-0.271965169832346,"chr17",66810741,66810742,"+",0.427761416402209,2,"TUTR"
"RHBDD1","ENSG00000144468","PAS7038_AATAAA_0.35",0.0168517936660368,0.0163151741973505,8.01946036133177,1,0.00462773573747905,0.0274659341513843,0.727051099791435,0.473850904820226,-0.25320019497121,"chr2",226999209,226999210,"+",0.600451002305831,2,"TUTR"
