"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift"
"AARS2","PAS19137_AATAAA_0.1",0.024597821008605,0.00555558409172038,9.71592954324706,1,0.001826776608903,0.0123598683786789,0.569593866421706,0.726843290291484,0.157249423869778,"chr6",44299560,44299561,"-",0.648218578356595,2,"TUTR",NA
"AARS2","PAS19135_APA_0.1",0.024597821008605,0.0225419452414578,7.17026085373709,1,0.00741219961869309,0.0377106380789451,0.343232423111256,0.217341345062985,-0.125891078048271,"chr6",44298731,44298732,"-",0.280286884087121,2,"TUTR",NA
"AASS","PAS22193_ATTAAA_0.25",0.0186025893806037,0,7.90939835513473,1,0.00491786227150226,0.027395520403278,0.890808139159896,0.747162330791693,-0.143645808368204,"chr7",122073551,122073552,"-",0.818985234975794,2,"TUTR",NA
"AASS","PAS22194_APA_0.25",0.0186025893806037,0,7.90939835513473,1,0.00491786227150226,0.027395520403278,0.109191860840104,0.252837669208307,0.143645808368204,"chr7",122076245,122076246,"-",0.181014765024206,2,"TUTR",NA
"ABHD12","PAS49589_AATAAA_0.35",0.00141820037624723,0,13.4704666687521,1,0.000242348024997293,0.00231040596119597,0.198288457541833,0.0958979989024754,-0.102390458639358,"chr20",25294743,25294744,"-",0.147093228222154,2,"ALE",NA
"ABHD12","PAS49590_AATAAA_0.05",0.00141820037624723,0,13.4704666687521,1,0.000242348024997293,0.00231040596119597,0.801711542458167,0.904102001097525,0.102390458639358,"chr20",25300213,25300214,"-",0.852906771777846,2,"ALE",NA
"ABI2","PAS6851_AATAAA_0.4",7.72434939466507e-08,1.15405301827752e-09,40.5695893732141,1,1.89736760745388e-10,8.11911598009812e-09,0.451112310000366,0.179349050682684,-0.271763259317683,"chr2",203427596,203427597,"+",0.315230680341525,2,"TUTR",NA
"ABI2","PAS6853_AATAAA_0.2",7.72434939466507e-08,7.95493190458933e-05,18.999010195671,1,1.30786279973488e-05,0.000185669962129798,0.367147874976846,0.567894414571756,0.20074653959491,"chr2",203432167,203432168,"+",0.467521144774301,2,"TUTR",NA
"ABL2","PAS4501_APA_0.25",7.06558168778587e-05,1.94775449986092e-06,26.1237044266973,1,3.20228467564214e-07,6.92413682476196e-06,0.0868154561894714,0.25836399095674,0.171548534767269,"chr1",179107614,179107615,"-",0.172589723573106,2,"MIXED",NA
"ABL2","PAS4497_AATAAA_0.3",7.06558168778587e-05,0.00137112946317639,13.6063137446149,1,0.000225426092896445,0.00217507900386104,0.764808898968479,0.612235739916934,-0.152573159051545,"chr1",179099332,179099333,"-",0.688522319442707,2,"MIXED",NA
"ABLIM3","PAS15637_APA_0.15",0.000777078037512959,0,14.739683540158,1,0.000123420998217732,0.0012984829592658,0.75218624762191,0.935535532399297,0.183349284777387,"chr5",149260435,149260436,"+",0.843860890010603,2,"MIXED",NA
"ABLIM3","PAS15636_APA_0.25",0.000777078037512959,0,14.7396835401589,1,0.000123420998217673,0.0012984829592658,0.24781375237809,0.0644644676007032,-0.183349284777387,"chr5",149258456,149258457,"+",0.156139109989397,2,"MIXED",NA
"ACADSB","PAS27951_AATAAA_0.15",0.00130932307261133,0.000120432771531359,16.8904425854353,1,3.96004751879683e-05,0.00048733476208462,0.554187282442567,0.783357927667857,0.22917064522529,"chr10",123055135,123055136,"+",0.668772605055212,2,"TUTR",NA
"ACADSB","PAS27953_AATAAA_0.2",0.00130932307261133,0.00157200187307984,12.0536789116995,1,0.000516902670085349,0.00435339155964565,0.337423344731652,0.159293206613433,-0.178130138118219,"chr10",123058288,123058289,"+",0.248358275672542,2,"TUTR",NA
"ACOT9","PAS52585_APA_0.35",1.75899976378979e-05,0.000149067421119911,16.4857899473245,1,4.90160662777439e-05,0.00058841137310897,0.077027824674339,0.19236464467052,0.115336819996181,"chrX",23701054,23701055,"-",0.134696234672429,2,"ALE",NA
"ACOT9","PAS52587_AATAAA_0.4",1.75899976378979e-05,0.000637267753360645,13.7434955880799,1,0.000209545172249727,0.00204475071570916,0.174191922814473,0.0724831228210582,-0.101708799993415,"chrX",23707832,23707833,"-",0.123337522817766,2,"ALE",NA
"ACOX1","PAS44898_AATAAA_0.45",0.000530147251613075,1.20441771495878e-05,23.9473089732278,1,9.90085863480182e-07,1.90379367463475e-05,0.370225801775144,0.591307269276793,0.221081467501649,"chr17",75941512,75941513,"-",0.480766535525968,2,"TUTR",NA
