gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,Sam68_DMSO_1,Sam68_DMSO_2,Sam68_DMSO_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
AAGAB_ENSG00000103591.13,PAS14818_ATTAAA_0.35,0.524873545,NA,AAGAB_ENSG00000103591.13,1.1804152,1,0.277271485,0.565313409,AAGAB_ENSG00000103591.13,0.253215065,0.253215065,0.253215065,0.296368985,0.296368985,0.296368985,0.043153919,chr15,67201031,67201032,19,-,ENSG00000103591.13,AAGAB,UTR3
AAGAB_ENSG00000103591.13,PAS14819_AATAAA_0.3,0.524873545,NA,AAGAB_ENSG00000103591.13,1.1804152,1,0.277271485,0.565313409,AAGAB_ENSG00000103591.13,0.746784935,0.746784935,0.746784935,0.703631015,0.703631015,0.703631015,-0.043153919,chr15,67201672,67201673,199,-,ENSG00000103591.13,AAGAB,UTR3
AARS2_ENSG00000124608.5,PAS7067_APA_0.1,0.494441728,NA,AARS2_ENSG00000124608.5,1.738817549,1,0.187288721,0.46178822,AARS2_ENSG00000124608.5,0.213540699,0.213540699,0.213540699,0.273275385,0.273275385,0.273275385,0.059734685,chr6,44298731,44298732,49,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS7068_ATTAAA_0.2,0.494441728,NA,AARS2_ENSG00000124608.5,1.585217425,1,0.208010763,0.485782645,AARS2_ENSG00000124608.5,0.119680403,0.119680403,0.119680403,0.080109906,0.080109906,0.080109906,-0.039570497,chr6,44298968,44298969,10,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS7069_AATAAA_0.1,0.494441728,NA,AARS2_ENSG00000124608.5,0.144293337,1,0.704049618,0.877502032,AARS2_ENSG00000124608.5,0.666778898,0.666778898,0.666778898,0.646614709,0.646614709,0.646614709,-0.020164188,chr6,44299560,44299561,34,-,ENSG00000124608.5,AARS2,UTR3
AASDHPPT_ENSG00000149313.11,PAS11261_AATAAA_0.4,0.68001282,NA,AASDHPPT_ENSG00000149313.11,0.595592331,1,0.44026471,0.713084482,AASDHPPT_ENSG00000149313.11,0.569442521,0.569442521,0.569442521,0.616792395,0.616792395,0.616792395,0.047349874,chr11,106096987,106096988,122,+,ENSG00000149313.11,AASDHPPT,UTR3
AASDHPPT_ENSG00000149313.11,PAS11262_AATAAA_0.2,0.68001282,NA,AASDHPPT_ENSG00000149313.11,0.595592331,1,0.44026471,0.713084482,AASDHPPT_ENSG00000149313.11,0.430557479,0.430557479,0.430557479,0.383207605,0.383207605,0.383207605,-0.047349874,chr11,106098698,106098699,35,+,ENSG00000149313.11,AASDHPPT,UTR3
AASS_ENSG00000008311.16,PAS8066_ATTAAA_0.1,0.123139763,NA,AASS_ENSG00000008311.16,7.246956296,1,0.007102129,0.057215423,AASS_ENSG00000008311.16,0.212202533,0.212202533,0.212202533,0.096741336,0.096741336,0.096741336,-0.115461198,chr7,122076479,122076480,40,-,ENSG00000008311.16,AASS,UTR3
AASS_ENSG00000008311.16,PAS8064_ATTAAA_0.25,0.123139763,NA,AASS_ENSG00000008311.16,3.595145927,1,0.057948541,0.230640685,AASS_ENSG00000008311.16,0.67054647,0.67054647,0.67054647,0.773376092,0.773376092,0.773376092,0.102829622,chr7,122073551,122073552,12,-,ENSG00000008311.16,AASS,UTR3
AASS_ENSG00000008311.16,PAS8065_APA_0.25,0.123139763,NA,AASS_ENSG00000008311.16,0.101584581,1,0.749936298,0.898368975,AASS_ENSG00000008311.16,0.117250996,0.117250996,0.117250996,0.129882572,0.129882572,0.129882572,0.012631576,chr7,122076245,122076246,16,-,ENSG00000008311.16,AASS,UTR3
ABCC5_ENSG00000114770.17,PAS4550_AATAAA_0.35,0.254304271,NA,ABCC5_ENSG00000114770.17,3.017226884,1,0.08238423,0.287495856,ABCC5_ENSG00000114770.17,0.879746301,0.879746301,0.879746301,0.948160479,0.948160479,0.948160479,0.068414177,chr3,183919937,183919938,57,-,ENSG00000114770.17,ABCC5,UTR3
ABCC5_ENSG00000114770.17,PAS4551_AATAAA_0.25,0.254304271,NA,ABCC5_ENSG00000114770.17,3.017226884,1,0.08238423,0.287495856,ABCC5_ENSG00000114770.17,0.120253699,0.120253699,0.120253699,0.051839521,0.051839521,0.051839521,-0.068414177,chr3,183983753,183983754,13,-,ENSG00000114770.17,ABCC5,UTR3
ABCD3_ENSG00000117528.14,PAS452_AATAAA_0.3,0.946025092,NA,ABCD3_ENSG00000117528.14,0.021901165,1,0.882350327,0.953174433,ABCD3_ENSG00000117528.14,0.091439881,0.091439881,0.091439881,0.095494384,0.095494384,0.095494384,0.004054503,chr1,94478720,94478721,20,+,ENSG00000117528.14,ABCD3,UTR3
ABCD3_ENSG00000117528.14,PAS453_AATAAA_0.15,0.946025092,NA,ABCD3_ENSG00000117528.14,0.021901165,1,0.882350327,0.953174433,ABCD3_ENSG00000117528.14,0.908560119,0.908560119,0.908560119,0.904505616,0.904505616,0.904505616,-0.004054503,chr1,94518661,94518662,44,+,ENSG00000117528.14,ABCD3,UTR3
ABCE1_ENSG00000164163.11,PAS4930_AATAAA_0.1,0.715778773,NA,ABCE1_ENSG00000164163.11,1.384962566,1,0.239257647,0.525991026,ABCE1_ENSG00000164163.11,0.146069429,0.146069429,0.146069429,0.115726839,0.115726839,0.115726839,-0.03034259,chr4,145128047,145128048,11,+,ENSG00000164163.11,ABCE1,UTR3
ABCE1_ENSG00000164163.11,PAS4931_AATAAA_0.2,0.715778773,NA,ABCE1_ENSG00000164163.11,0.791044796,1,0.373784389,0.662664408,ABCE1_ENSG00000164163.11,0.818118286,0.818118286,0.818118286,0.843636539,0.843636539,0.843636539,0.025518253,chr4,145129158,145129159,78,+,ENSG00000164163.11,ABCE1,UTR3
ABCE1_ENSG00000164163.11,PAS4929_ATTAAA_0.4,0.715778773,NA,ABCE1_ENSG00000164163.11,0.113737794,1,0.735928189,0.889411329,ABCE1_ENSG00000164163.11,0.035812285,0.035812285,0.035812285,0.040636622,0.040636622,0.040636622,0.004824337,chr4,145127623,145127624,15,+,ENSG00000164163.11,ABCE1,UTR3
ABHD10_ENSG00000144827.9,PAS3679_ATTAAA_0.35,0.65853427,NA,ABHD10_ENSG00000144827.9,1.706437104,1,0.191448291,0.467379952,ABHD10_ENSG00000144827.9,0.149454058,0.149454058,0.149454058,0.099431383,0.099431383,0.099431383,-0.050022675,chr3,111991968,111991969,30,+,ENSG00000144827.9,ABHD10,UTR3
ABHD10_ENSG00000144827.9,PAS3681_AATAAA_0.2,0.65853427,NA,ABHD10_ENSG00000144827.9,1.253378664,1,0.262908151,0.549913487,ABHD10_ENSG00000144827.9,0.82044219,0.82044219,0.82044219,0.865879909,0.865879909,0.865879909,0.045437719,chr3,111993366,111993367,81,+,ENSG00000144827.9,ABHD10,UTR3
ABHD10_ENSG00000144827.9,PAS3680_ATTAAA_0.3,0.65853427,NA,ABHD10_ENSG00000144827.9,0.051650718,1,0.820215399,0.92647986,ABHD10_ENSG00000144827.9,0.030103751,0.030103751,0.030103751,0.034688708,0.034688708,0.034688708,0.004584957,chr3,111992443,111992444,11,+,ENSG00000144827.9,ABHD10,UTR3
ABHD12_ENSG00000100997.20,PAS18839_AATAAA_0.35,0.650202181,NA,ABHD12_ENSG00000100997.20,0.697768374,1,0.403534571,0.685131367,ABHD12_ENSG00000100997.20,0.141826321,0.141826321,0.141826321,0.113127285,0.113127285,0.113127285,-0.028699036,chr20,25294743,25294744,24,-,ENSG00000100997.20,ABHD12,UTR3
ABHD12_ENSG00000100997.20,PAS18840_AATAAA_0.05,0.650202181,NA,ABHD12_ENSG00000100997.20,0.697768374,1,0.403534571,0.685131367,ABHD12_ENSG00000100997.20,0.858173679,0.858173679,0.858173679,0.886872715,0.886872715,0.886872715,0.028699036,chr20,25300213,25300214,223,-,ENSG00000100997.20,ABHD12,UTR3
ABHD17B_ENSG00000107362.14,PAS9516_APA_0.1,0.445989806,NA,ABHD17B_ENSG00000107362.14,1.612845573,1,0.204092263,0.481641364,ABHD17B_ENSG00000107362.14,0.341269688,0.341269688,0.341269688,0.439566651,0.439566651,0.439566651,0.098296963,chr9,71865152,71865153,16,-,ENSG00000107362.14,ABHD17B,UTR3
ABHD17B_ENSG00000107362.14,PAS9517_AATAAA_0.35,0.445989806,NA,ABHD17B_ENSG00000107362.14,1.612845573,1,0.204092263,0.481641364,ABHD17B_ENSG00000107362.14,0.658730312,0.658730312,0.658730312,0.560433349,0.560433349,0.560433349,-0.098296963,chr9,71865432,71865433,12,-,ENSG00000107362.14,ABHD17B,UTR3
ABHD2_ENSG00000140526.18,PAS14551_ATTAAA_0.25,0.156733522,NA,ABHD2_ENSG00000140526.18,4.252899345,1,0.03918338,0.182305833,ABHD2_ENSG00000140526.18,0.072394237,0.072394237,0.072394237,0.021178419,0.021178419,0.021178419,-0.051215818,chr15,89195749,89195750,16,+,ENSG00000140526.18,ABHD2,UTR3
ABHD2_ENSG00000140526.18,PAS14552_AATAAA_0.05,0.156733522,NA,ABHD2_ENSG00000140526.18,4.252899345,1,0.03918338,0.182305833,ABHD2_ENSG00000140526.18,0.927605763,0.927605763,0.927605763,0.978821581,0.978821581,0.978821581,0.051215818,chr15,89202353,89202354,127,+,ENSG00000140526.18,ABHD2,UTR3
ABHD5_ENSG00000011198.10,PAS3508_AATAAA_0.45,0.214798511,NA,ABHD5_ENSG00000011198.10,3.439603734,1,0.063650957,0.244427699,ABHD5_ENSG00000011198.10,0.598861481,0.598861481,0.598861481,0.376316746,0.376316746,0.376316746,-0.222544735,chr3,43718798,43718799,23,+,ENSG00000011198.10,ABHD5,UTR3
ABHD5_ENSG00000011198.10,PAS3509_AATAAA_0.35,0.214798511,NA,ABHD5_ENSG00000011198.10,3.439603734,1,0.063650957,0.244427699,ABHD5_ENSG00000011198.10,0.401138519,0.401138519,0.401138519,0.623683254,0.623683254,0.623683254,0.222544735,chr3,43719869,43719870,15,+,ENSG00000011198.10,ABHD5,UTR3
ABI1_ENSG00000136754.18,PAS10431_AATAAA_0.35,0.735162513,NA,ABI1_ENSG00000136754.18,1.706433183,1,0.191448801,0.467379952,ABI1_ENSG00000136754.18,0.234395036,0.234395036,0.234395036,0.286927547,0.286927547,0.286927547,0.052532511,chr10,26746894,26746895,76,-,ENSG00000136754.18,ABI1,UTR3
ABI1_ENSG00000136754.18,PAS10433_ATTAAA_0.2,0.735162513,NA,ABI1_ENSG00000136754.18,1.120876041,1,0.289729898,0.57719515,ABI1_ENSG00000136754.18,0.200312465,0.200312465,0.200312465,0.162011862,0.162011862,0.162011862,-0.038300603,chr10,26748184,26748185,31,-,ENSG00000136754.18,ABI1,UTR3
ABI1_ENSG00000136754.18,PAS10430_AATAAA_0.3,0.735162513,NA,ABI1_ENSG00000136754.18,0.107460818,1,0.743053686,0.894207499,ABI1_ENSG00000136754.18,0.044979192,0.044979192,0.044979192,0.038991759,0.038991759,0.038991759,-0.005987433,chr10,26746597,26746598,24,-,ENSG00000136754.18,ABI1,UTR3
ABI1_ENSG00000136754.18,PAS10432_AATAAA_0.3,0.735162513,NA,ABI1_ENSG00000136754.18,0.027360307,1,0.868621666,0.948470257,ABI1_ENSG00000136754.18,0.520313307,0.520313307,0.520313307,0.512068832,0.512068832,0.512068832,-0.008244475,chr10,26747814,26747815,135,-,ENSG00000136754.18,ABI1,UTR3
ABI2_ENSG00000138443.17,PAS2593_AATAAA_0.4,0.994122083,NA,ABI2_ENSG00000138443.17,2.95E-04,1,0.986301193,0.998615496,ABI2_ENSG00000138443.17,0.442637542,0.442637542,0.442637542,0.441886092,0.441886092,0.441886092,-7.51E-04,chr2,203427596,203427597,105,+,ENSG00000138443.17,ABI2,UTR3
ABI2_ENSG00000138443.17,PAS2594_AATAAA_0.2,0.994122083,NA,ABI2_ENSG00000138443.17,2.95E-04,1,0.986301193,0.998615496,ABI2_ENSG00000138443.17,0.557362458,0.557362458,0.557362458,0.558113908,0.558113908,0.558113908,7.51E-04,chr2,203432167,203432168,151,+,ENSG00000138443.17,ABI2,UTR3
ABL2_ENSG00000143322.22,PAS1773_AATAAA_0.3,0.666248173,NA,ABL2_ENSG00000143322.22,0.641128444,1,0.423302466,0.700609798,ABL2_ENSG00000143322.22,0.892205489,0.892205489,0.892205489,0.921137194,0.921137194,0.921137194,0.028931705,chr1,179099332,179099333,135,-,ENSG00000143322.22,ABL2,UTR3
ABL2_ENSG00000143322.22,PAS1774_APA_0.25,0.666248173,NA,ABL2_ENSG00000143322.22,0.641128444,1,0.423302466,0.700609798,ABL2_ENSG00000143322.22,0.107794511,0.107794511,0.107794511,0.078862806,0.078862806,0.078862806,-0.028931705,chr1,179107614,179107615,51,-,ENSG00000143322.22,ABL2,UTR3
ABLIM1_ENSG00000099204.22,PAS10738_AATAAA_0.2,0.940334608,NA,ABLIM1_ENSG00000099204.22,0.02616691,1,0.871493362,0.948885545,ABLIM1_ENSG00000099204.22,0.80511873,0.80511873,0.80511873,0.79579161,0.79579161,0.79579161,-0.00932712,chr10,114431112,114431113,57,-,ENSG00000099204.22,ABLIM1,UTR3
ABLIM1_ENSG00000099204.22,PAS10739_ATTAAA_0.3,0.940334608,NA,ABLIM1_ENSG00000099204.22,0.02616691,1,0.871493362,0.948885545,ABLIM1_ENSG00000099204.22,0.19488127,0.19488127,0.19488127,0.20420839,0.20420839,0.20420839,0.00932712,chr10,114431774,114431776,14,-,ENSG00000099204.22,ABLIM1,UTR3
ABLIM3_ENSG00000173210.20,PAS5753_APA_0.25,0.631525828,NA,ABLIM3_ENSG00000173210.20,0.76187326,1,0.382742926,0.66922238,ABLIM3_ENSG00000173210.20,0.288575322,0.288575322,0.288575322,0.203921406,0.203921406,0.203921406,-0.084653916,chr5,149258456,149258457,19,+,ENSG00000173210.20,ABLIM3,UTR3
ABLIM3_ENSG00000173210.20,PAS5754_APA_0.15,0.631525828,NA,ABLIM3_ENSG00000173210.20,0.76187326,1,0.382742926,0.66922238,ABLIM3_ENSG00000173210.20,0.711424678,0.711424678,0.711424678,0.796078594,0.796078594,0.796078594,0.084653916,chr5,149260435,149260436,90,+,ENSG00000173210.20,ABLIM3,UTR3
ABRAXAS2_ENSG00000165660.8,PAS10272_AATAAA_0.4,0.487867424,NA,ABRAXAS2_ENSG00000165660.8,1.391662458,1,0.238124551,0.525007463,ABRAXAS2_ENSG00000165660.8,0.080981241,0.080981241,0.080981241,0.14088062,0.14088062,0.14088062,0.059899378,chr10,124835942,124835943,14,+,ENSG00000165660.8,ABRAXAS2,UTR3
ABRAXAS2_ENSG00000165660.8,PAS10273_AATAAA_0.2,0.487867424,NA,ABRAXAS2_ENSG00000165660.8,1.391662458,1,0.238124551,0.525007463,ABRAXAS2_ENSG00000165660.8,0.919018759,0.919018759,0.919018759,0.85911938,0.85911938,0.85911938,-0.059899378,chr10,124836666,124836667,38,+,ENSG00000165660.8,ABRAXAS2,UTR3
ACACA_ENSG00000278540.5,PAS16589_AATAAA_0.2,0.515591033,NA,ACACA_ENSG00000278540.5,1.228222965,1,0.267752908,0.554373885,ACACA_ENSG00000278540.5,0.828472516,0.828472516,0.828472516,0.791909579,0.791909579,0.791909579,-0.036562937,chr17,37084992,37084993,136,-,ENSG00000278540.5,ACACA,UTR3
ACACA_ENSG00000278540.5,PAS16590_AATAAA_0.1,0.515591033,NA,ACACA_ENSG00000278540.5,1.228222965,1,0.267752908,0.554373885,ACACA_ENSG00000278540.5,0.171527484,0.171527484,0.171527484,0.208090421,0.208090421,0.208090421,0.036562937,chr17,37328650,37328651,11,-,ENSG00000278540.5,ACACA,UTR3
ACACB_ENSG00000076555.16,PAS12336_APA_0.35,0.79695841,NA,ACACB_ENSG00000076555.16,0.280490088,1,0.596380175,0.816099187,ACACB_ENSG00000076555.16,0.127688183,0.127688183,0.127688183,0.158738554,0.158738554,0.158738554,0.031050371,chr12,109266547,109266548,15,+,ENSG00000076555.16,ACACB,UTR3
