"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABLIM3","ENSG00000173210","PAS15637_APA_0.15",0.903890094059664,NA,0.0531792548252099,1,0.817620690980511,0.919397078077126,0.708497844976582,0.681505455149958,-0.0269923898266239,"chr5",149260435,149260436,"+",0.69500165006327,0,"MIXED","distal pA"
"ADGRL2","ENSG00000117114","PAS1054_AATAAA_0.3",0.428709327603115,NA,1.3469691566861,1,0.245808672555995,0.478515041906323,0.559108155727238,0.490292879963544,-0.0688152757636943,"chr1",81992421,81992422,"+",0.524700517845391,0,"MIXED","distal pA"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.899778345599084,NA,0.0762618261123862,1,0.782428681876676,0.900690458494909,0.282019961004744,0.275872617786697,-0.00614734321804744,"chr2",64593001,64593002,"+",0.278946289395721,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.85229904479831,NA,0.114006233636246,1,0.735628396603696,0.87522532567783,0.370053389665676,0.359704792870586,-0.0103485967950903,"chr19",49471046,49471047,"+",0.364879091268131,0,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.891385013375977,NA,0.108882187108975,1,0.741420356141331,0.878786808938505,0.357378600674427,0.371721334721355,0.0143427340469282,"chr17",19677594,19677595,"+",0.364549967697891,0,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",0.126781040488113,NA,3.98417865004376,1,0.0459294881043295,0.156342004822338,0.0829636751620281,0.117531812392156,0.0345681372301283,"chr11",1012238,1012239,"+",0.100247743777092,0,"MIXED","distal pA"
"APH1B","ENSG00000138613","PAS38652_AATAAA_0.1",0.861141857081163,NA,0.102968566715674,1,0.748295907883063,0.88321643561227,0.505174817025617,0.471226706653308,-0.0339481103723085,"chr15",63309117,63309118,"+",0.488200761839463,0,"MIXED","distal pA"
"ARHGEF26","ENSG00000114790","PAS10345_APA_0",0.995337763446047,NA,0.000252085224701659,1,0.987332365884818,0.996425281300692,0.201557553124396,0.202307811894438,0.000750258770042422,"chr3",154257824,154257825,"+",0.201932682509417,0,"MIXED","distal pA"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",0.442870725841298,NA,0.258439421653748,1,0.61119432567658,0.797525041948656,0.21989571868125,0.192770766993577,-0.0271249516876726,"chr7",12690724,12690725,"+",0.206333242837413,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.483100907696582,NA,1.68826230823652,1,0.193830193651572,0.410695344554596,0.352033181379908,0.388153715782915,0.0361205344030072,"chr3",69106065,69106066,"+",0.370093448581412,0,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",0.531085869295831,NA,1.80381836835295,1,0.179251557391081,0.39037702881011,0.302479338842975,0.341410361631183,0.0389310227882081,"chr2",241673853,241673854,"+",0.321944850237079,0,"MIXED","distal pA"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",0.00178541616801403,0.000274425260246288,15.6100527635499,1,7.78396582682501e-05,0.000938426103667674,0.159646643834287,0.106604627566393,-0.0530420162678931,"chr12",110351089,110351090,"+",0.13312563570034,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.648503565060766,NA,0.530462278188224,1,0.466412572976871,0.692730888915241,0.770048282785164,0.809239623769457,0.0391913409842931,"chr13",102841530,102841531,"+",0.789643953277311,0,"MIXED","distal pA"
"BRSK2","ENSG00000174672","PAS29392_AATAAA_0.35",0.922137413910755,NA,0.0365607548604885,1,0.848362112534639,0.933422675032364,0.334170146902979,0.312418250944434,-0.0217518959585453,"chr11",1462681,1462682,"+",0.323294198923707,0,"MIXED","distal pA"
"BTN2A2","ENSG00000124508","PAS17467_AATAAA_0.35",0.93477694155578,NA,0.0275034233170572,1,0.868281638117138,0.944100984300377,0.136159929046557,0.144266674035276,0.00810674498871911,"chr6",26394869,26394870,"+",0.140213301540917,0,"MIXED","distal pA"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.241059548352473,NA,0.122958016904704,1,0.7258481650203,0.868727982877598,0.568081785095163,0.580607991790185,0.0125262066950218,"chr5",134859733,134859734,"+",0.574344888442674,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.290221198264963,NA,2.16998665690335,1,0.140727455031329,0.33321081442293,0.918856305681938,0.92978067068684,0.0109243650049026,"chr19",12944488,12944489,"+",0.924318488184389,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.482045263062419,NA,2.74512283558579,1,0.0975515804030054,0.2624791317712,0.520517135576411,0.497717494144066,-0.0227996414323455,"chr10",68771444,68771445,"+",0.509117314860238,0,"MIXED","distal pA"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.571978387757271,NA,0.768752306488523,1,0.38060331324767,0.621307739383922,0.655288276663403,0.70971072017975,0.0544224435163471,"chr8",22620467,22620468,"+",0.682499498421577,0,"MIXED","distal pA"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.77008855528295,NA,0.834629236191176,1,0.360937343615372,0.600967920382124,0.370548578438145,0.342200876439158,-0.0283477019989872,"chr12",28550164,28550165,"+",0.356374727438652,0,"MIXED","distal pA"
"CDIN1","ENSG00000186073","PAS38275_AATAAA_0.15",0.492441262955312,NA,1.06174962445539,1,0.302816475185263,0.543940019098836,0.868291216625447,0.918513760610355,0.0502225439849082,"chr15",36810245,36810246,"+",0.893402488617901,0,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",0.0922972842272889,NA,4.68264354550411,1,0.0304688264464348,0.116675773509318,0.69318895465966,0.741933563096346,0.0487446084366854,"chrX",47229992,47229993,"+",0.717561258878003,0,"MIXED","distal pA"
"CDV3","ENSG00000091527","PAS10174_AATAAA_0.2",0.447096867207853,NA,0.113899143401795,1,0.735747947585804,0.87522532567783,0.516751093244537,0.523642144848323,0.00689105160378622,"chr3",133590259,133590260,"+",0.52019661904643,0,"MIXED","distal pA"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.951755371492696,NA,0.0142640521344219,1,0.904932946184085,0.958273613230996,0.554059530841242,0.558891653131087,0.00483212228984509,"chr1",180114872,180114873,"+",0.556475591986164,0,"MIXED","distal pA"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.850140668671461,NA,0.0991159654695366,1,0.752893100154444,0.885441063501478,0.303614303724611,0.289886266986028,-0.0137280367385832,"chr6",167042407,167042408,"+",0.296750285355319,0,"MIXED","distal pA"
"CEP97","ENSG00000182504","PAS9913_AATAAA_0.15",0.968164438440575,NA,0.0068785639118687,1,0.933901547615415,0.971834958612181,0.755957659051183,0.760869236510582,0.0049115774593993,"chr3",101770560,101770561,"+",0.758413447780882,0,"MIXED","distal pA"
"CGRRF1","ENSG00000100532","PAS36636_AATAAA_0.4",0.9779882254483,NA,0.00344922579824924,1,0.953167076562928,0.979660100283533,0.195403004800087,0.19786156747528,0.00245856267519251,"chr14",54539282,54539283,"+",0.196632286137684,0,"MIXED","distal pA"
"CLIC4","ENSG00000169504","PAS396_AATAAA_0.35",0.711928239175459,NA,0.114780620588135,1,0.734765759742661,0.874808685471816,0.807770842298181,0.813494581740796,0.00572373944261495,"chr1",24844316,24844317,"+",0.810632712019489,0,"MIXED","distal pA"
"CTNNB1","ENSG00000168036","PAS9464_ATTAAA_0.1",0.000225830403947814,0.916756544206845,1.26857366512559,1,0.260034429965373,0.494670652374485,0.859862915547265,0.845165867391592,-0.0146970481556726,"chr3",41240441,41240442,"+",0.852514391469428,0,"MIXED","distal pA"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.0389328407553347,0,6.56455642990386,1,0.0104029663859205,0.0523025460403382,0.14520675329644,0.0924846271376115,-0.0527221261588281,"chr11",57819178,57819179,"+",0.118845690217026,0,"MIXED","distal pA"
"CTTN","ENSG00000085733","PAS30218_AATAAA_0.1",0.00181875020260229,0,13.1745059051209,1,0.000283783543676819,0.00280130198483664,0.882961472077387,0.93560401063246,0.0526425385550726,"chr11",70436573,70436574,"+",0.909282741354923,0,"MIXED","distal pA"
"DARS2","ENSG00000117593","PAS1863_AATAAA_0.45",0.849373647837311,NA,0.117536965922682,1,0.731721355243433,0.872339533305099,0.672736915284273,0.693264467551739,0.0205275522674663,"chr1",173858419,173858420,"+",0.683000691418006,0,"MIXED","distal pA"
"DAZAP1","ENSG00000071626","PAS46037_AATAAA_0.2",0.0454298335585755,0,6.2207495769544,1,0.0126261646440724,0.0603125827506486,0.612571103414246,0.554829631027044,-0.0577414723872021,"chr19",1435680,1435681,"+",0.583700367220645,0,"MIXED","distal pA"
"DBF4B","ENSG00000161692","PAS42891_AATAAA_0.25",0.350798882442784,NA,1.75981581876977,1,0.184647490401072,0.397473622565054,0.102795405806636,0.0510295127456247,-0.0517658930610112,"chr17",44752262,44752263,"+",0.0769124592761303,0,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.777397938088651,NA,0.233263521484332,1,0.629114464317011,0.809378179319699,0.842278568193321,0.853528758351072,0.0112501901577509,"chr17",63594264,63594265,"+",0.847903663272197,0,"MIXED","distal pA"
