"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",0.00011021316108253,0,21.9739557125286,1,2.76375510971483e-06,0.00017400611531029,0.551936448439422,0.692969675379188,0.141033226939767,"chr2",278279,278280,"+",0.622453061909305,2,"TUTR","distal pA"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.0413158506262311,0,7.94017225783318,1,0.0048349231950381,0.0564130872003,0.561643861510895,0.39230794092804,-0.169335920582854,"chr10",62808470,62808471,"+",0.476975901219468,2,"TUTR","distal pA"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.00287674379837502,0.000770834361157734,15.167588043958,1,9.83776371222715e-05,0.00308891859200189,0.209790073026192,0.361788244982886,0.151998171956694,"chr2",227561215,227561216,"+",0.285789159004539,2,"TUTR","distal pA"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",9.01190273210074e-13,6.2959887750734e-15,66.2275270030186,1,4.01762382588782e-16,3.14627211729673e-13,0.613511538259944,0.789164071079078,0.175652532819134,"chr17",35726408,35726409,"+",0.701337804669511,2,"TUTR","distal pA"
"ARHGAP35","ENSG00000160007","PAS47014_AATAAA_0.2",4.23459312033184e-07,0.00170834205175988,13.6689748407098,1,0.000218026936677204,0.0057363490276356,0.385225727251451,0.503654610396258,0.118428883144807,"chr19",47004557,47004558,"+",0.444440168823855,2,"TUTR","distal pA"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.039229796049363,0,8.10478669404984,1,0.00441485166549406,0.0533347733418534,0.37234049908902,0.568965492724252,0.196624993635232,"chr1",1235037,1235038,"+",0.470652995906636,2,"TUTR","distal pA"
"BMPR2","ENSG00000204217","PAS6832_ATTAAA_0.25",7.85130925541416e-05,8.94423846347836e-05,20.5838571527916,1,5.70753647108813e-06,0.00030887980910405,0.563934662598051,0.203947452488041,-0.359987210110011,"chr2",202567746,202567747,"+",0.383941057543046,2,"TUTR","distal pA"
"CCDC97","ENSG00000142039","PAS46855_ATTAAA_0.35",0.0010760491395612,0.00801275688469395,10.7861435704142,1,0.00102262707641558,0.0186496359840008,0.802971591061614,0.602967592115767,-0.200003998945846,"chr19",41324869,41324870,"+",0.70296959158869,2,"TUTR","distal pA"
"CHCHD7","ENSG00000170791","PAS22921_AATAAA_0.3",0.0220366432494017,0,9.55598009595178,1,0.00199299073147639,0.0307056618730675,0.348149005593295,0.474479622414645,0.12633061682135,"chr8",56218614,56218615,"+",0.41131431400397,2,"TUTR","distal pA"
"CHURC1","ENSG00000258289","PAS36801_ATTAAA_0.3",1.49193242167005e-06,0.00147153238392348,13.9493344565126,1,0.000187804132994107,0.00515512664443412,0.26250386833993,0.371105383289081,0.108601514949151,"chr14",64932652,64932653,"+",0.316804625814505,2,"TUTR","distal pA"
"CRIPT","ENSG00000119878","PAS5573_AATAAA_0.25",0.00578786241268821,0,12.8047643865749,1,0.000345737754723271,0.00817409370458965,0.230970808530993,0.0451186485911682,-0.185852159939825,"chr2",46625740,46625741,"+",0.138044728561081,2,"TUTR","distal pA"
"CYTH2","ENSG00000105443","PAS47068_ATTAAA_0.3",8.69605613539594e-07,0,32.7538136991725,1,1.04600879100583e-08,1.45057448277715e-06,0.118676787134061,0.330394078189811,0.21171729105575,"chr19",48482312,48482313,"+",0.224535432661936,2,"TUTR","distal pA"
"DLG3","ENSG00000082458","PAS52068_AATAAA_0.3",0.000164852757169088,8.176962018881e-06,25.1815429404378,1,5.21791867871509e-07,4.4529584211368e-05,0.385350318471337,0.587836843133803,0.202486524662466,"chrX",70505484,70505485,"+",0.48659358080257,3,"TUTR","distal pA"
"DYNLL2","ENSG00000264364","PAS43126_ATTAAA_0.1",0.00108123779055924,3.73501463120151e-05,22.2581870733393,1,2.38340383193899e-06,0.00015786196624181,0.588432067873995,0.746923975080174,0.158491907206179,"chr17",58091221,58091222,"+",0.667678021477084,2,"TUTR","distal pA"
"EFR3A","ENSG00000132294","PAS23464_AATAAA_0.4",0.00422106173488882,0,13.5356592370877,1,0.000234073148193631,0.00604338175627914,0.527052768525882,0.70373601191413,0.176683243388248,"chr8",132013521,132013522,"+",0.615394390220006,2,"TUTR","distal pA"
"FLNB","ENSG00000136068","PAS9735_AATAAA_0.15",6.23818723628081e-06,1.59280281874369e-07,31.4629599502096,1,2.03281256785637e-08,2.60219554960306e-06,0.424917821725095,0.575770469378683,0.150852647653588,"chr3",58172247,58172248,"+",0.500344145551889,2,"TUTR","distal pA"
"GATC","ENSG00000257218","PAS33401_AATAAA_0.4",2.78090157674855e-09,1.83566161648385e-05,24.4043533653021,1,7.80920266339714e-07,6.11552441516506e-05,0.402277429386914,0.261260304586148,-0.141017124800766,"chr12",120463745,120463746,"+",0.331768866986531,2,"TUTR","distal pA"
